qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
169208,does mississippi have an income tax,does mississippi have an income tax for residents,Contextual Restriction,Added a constraint to specify that the query is about income tax for residents of Mississippi.,True,high
174463,dog day afternoon meaning,meaning of dog day afternoon in film,Contextual Restriction,"The scope was narrowed down to the context of the film, which is a specific scenario where this phrase might be used.",True,high
23849,are naturalization records public information,are naturalization records public information for us citizens,Contextual Restriction,The scope of the query was narrowed down by specifying 'for US citizens' to refine the search results.,True,high
258062,how long does it take to remove wisdom tooth,how long does it take to remove a wisdom tooth under general anesthesia,Contextual Restriction,Added a specific condition (under general anesthesia) to narrow down the context of the query.,True,high
324585,how much money do motivational speakers make,how much money do motivational speakers make per year,Contextual Restriction,Added a time frame ('per year') to narrow down the context and refine the search results.,True,high
330975,how much would it cost to install my own wind turbine,cost to install a residential wind turbine,Contextual Restriction,The scope of the query was narrowed down by specifying that the wind turbine is for residential use.,True,high
332593,how often to button quail lay eggs,how often do button quail lay eggs in captivity,Contextual Restriction,Added a specific context (in captivity) to narrow down the query and refine the search results.,True,high
336901,how old is vanessa redgrave,vanessa redgrave age at the time of her first oscar win,Contextual Restriction,The scope of the query was narrowed down by adding a specific context (age at the time of her first Oscar win) to refine the search results.,True,high
390360,ia suffix meaning,meaning of ia suffix in chemistry,Contextual Restriction,"The scope was narrowed down to a specific field, chemistry, to refine the search results.",True,high
405163,is caffeine an narcotic,is caffeine classified as a narcotic under US drug laws,Contextual Restriction,The scope of the query was narrowed down by specifying the context to 'US drug laws' to refine the search results.,True,high
42255,average salary for dental hygienist in nebraska,average salary for dental hygienist in nebraska with 5 years of experience,Contextual Restriction,Added a specific condition (5 years of experience) to narrow down the context and refine the search results.,True,high
47210,average wedding dress alteration cost,average wedding dress alteration cost for a specific type of alteration,Contextual Restriction,"Added a constraint to specify the type of alteration, narrowing down the context.",True,high
555530,what are best foods to lower cholesterol,best foods to lower cholesterol for heart health,Contextual Restriction,Added a specific context (heart health) to narrow down the scope of the query.,True,high
583468,what carvedilol used for,what is carvedilol used for in treating hypertension,Contextual Restriction,The scope of the query was narrowed down by specifying a condition (hypertension) to refine the search results.,True,high
640502,what does it mean if your tsh is low,what does it mean if your tsh is low for a thyroid patient,Contextual Restriction,Added 'for a thyroid patient' to narrow down the context and refine the search results.,True,high
67316,can fever cause miscarriage early pregnancy,can high fever during first trimester cause miscarriage,Contextual Restriction,The scope of the query was narrowed down by specifying 'high fever' and 'first trimester' to provide more targeted results.,True,high
673670,what is a alm,what is alm in software development,Contextual Restriction,Added a specific context (software development) to narrow down the scope of the query.,True,high
701453,what is a statutory deed,what is a statutory deed in property law,Contextual Restriction,"The scope of the query was narrowed down to a specific context, 'property law', to refine the search results.",True,high
730539,what is chronometer who invented it,what is a chronometer and who invented it for marine navigation,Contextual Restriction,Added the context of 'marine navigation' to narrow down the scope of the query.,True,high
768208,what is mamey,mamey fruit description,Contextual Restriction,The scope of the query was narrowed down to focus specifically on the description of the mamey fruit.,True,high
877809,what metal are hip replacements made of,what metal are hip replacements made of for patients with metal allergies,Contextual Restriction,Added a specific condition (patients with metal allergies) to narrow down the context and refine the search results.,True,high
911232,"what type of conflict does della face in o, henry the gift of the magi",what type of conflict does della face with her financial situation in o henry's the gift of the magi,Contextual Restriction,The query was refined by adding a specific context (financial situation) to narrow down the type of conflict Della faces.,True,high
914916,what type of tissue are bronchioles,what type of tissue are bronchioles in human lungs,Contextual Restriction,Added 'in human lungs' to narrow down the context and specify the location of bronchioles.,True,high
938400,when did family feud come out?,when did family feud first air on television?,Contextual Restriction,The scope of the query was narrowed down by specifying that the interest is in when the show first aired on television.,True,high
940547,when did rock n roll begin?,when did rock n roll begin in the united states?,Contextual Restriction,Added a geographical constraint to narrow down the context of the query.,True,high
997622,where is the show shameless filmed,where is the show shameless filmed in north america,Contextual Restriction,Added a geographical constraint to narrow down the filming location of the show 'Shameless'.,True,high
