qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
174463,dog day afternoon meaning,dog day afternoon meaning,Temporal Adjustment,The query does not contain a time-related term that can be adjusted to better align with the user's intent.,False,high
23849,are naturalization records public information,are naturalization records public information today,Temporal Adjustment,Added 'today' to specify the current time frame for the query.,True,high
258062,how long does it take to remove wisdom tooth,how long does it take to recover from wisdom tooth removal,Temporal Adjustment,Adjusted 'to remove' to 'to recover from removal' to better reflect the time frame of interest for the user.,True,high
324585,how much money do motivational speakers make,how much money do motivational speakers make annually,Temporal Adjustment,The term 'make' was modified to 'make annually' to better align with a typical time frame for income.,True,high
330975,how much would it cost to install my own wind turbine,how much would it cost to install a wind turbine now,Temporal Adjustment,The time-related term 'my own' was adjusted to 'now' to better align with the user's intent of understanding current costs.,True,high
332593,how often to button quail lay eggs,how often do button quail lay eggs,Temporal Adjustment,"The query was adjusted to use a more standard phrasing for frequency, which better aligns with the user's intent.",True,high
336901,how old is vanessa redgrave,how old is vanessa redgrave currently,Temporal Adjustment,Added 'currently' to reflect a more accurate and relevant time frame for the user's intent.,True,high
390360,ia suffix meaning,ia suffix meaning,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted.,False,high
405163,is caffeine an narcotic,is caffeine currently classified as a narcotic,Temporal Adjustment,"The query was adjusted to reflect the current classification of caffeine, aligning with the user's intent to understand its status in the present time.",True,high
42255,average salary for dental hygienist in nebraska,average salary for dental hygienist in nebraska 2023,Temporal Adjustment,Added a specific year to reflect the most current and relevant data.,True,high
47210,average wedding dress alteration cost,average wedding dress alteration cost 2023,Temporal Adjustment,Added a specific year to reflect a more current and relevant time frame.,True,high
555530,what are best foods to lower cholesterol,what are best foods to lower cholesterol currently,Temporal Adjustment,Added 'currently' to reflect the current or most recent information on foods that can help lower cholesterol.,True,high
583468,what carvedilol used for,what carvedilol is currently used for,Temporal Adjustment,"The query was adjusted to reflect a current usage context, aligning with the user's likely intent.",True,high
640502,what does it mean if your tsh is low,what does it mean if your tsh is currently low,Temporal Adjustment,Added 'currently' to better align with the user's intent of understanding the current state.,True,high
67316,can fever cause miscarriage early pregnancy,can fever during early pregnancy cause miscarriage,Temporal Adjustment,Adjusted 'early pregnancy' to 'during early pregnancy' to better specify the time frame.,True,high
673670,what is a alm,what is a alm,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted.,False,high
701453,what is a statutory deed,what is a statutory deed,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
730539,what is chronometer who invented it,what is a chronometer and who invented it,Temporal Adjustment,"The temporal aspect of the query was not directly related to time, so no specific temporal adjustment was made. The query was slightly rephrased for clarity.",False,low
768208,what is mamey,what is mamey,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted.,False,high
877809,what metal are hip replacements made of,what metal are current hip replacements made of,Temporal Adjustment,Added 'current' to reflect the most recent or modern materials used in hip replacements.,True,high
911232,"what type of conflict does della face in o, henry the gift of the magi",what type of conflict does della face in o. henry's 'the gift of the magi',Temporal Adjustment,The query did not contain any explicit time-related terms that required adjustment. The original intent is maintained.,False,high
914916,what type of tissue are bronchioles,what type of tissue are bronchioles,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted.,False,high
938400,when did family feud come out?,when did family feud first air?,Temporal Adjustment,Changed 'come out' to 'first air' to better reflect the specific time of the show's debut.,True,high
940547,when did rock n roll begin?,when did rock n roll originate?,Temporal Adjustment,Changed 'begin' to 'originate' to better reflect the inception of rock n roll.,True,high
997622,where is the show shameless filmed,where is the show shameless currently filmed,Temporal Adjustment,The term 'is' was modified to 'currently' to better reflect a more accurate and relevant time frame.,True,high
