qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1132532,average annual income data analyst,average annual income for data professionals,Generalization,The term 'data analyst' was replaced with 'data professionals' to encompass a broader category of roles.,True,high
1133579,how does granulation tissue start,how does tissue repair begin,Generalization,The term 'granulation tissue' was replaced with 'tissue repair' to cover a broader range of related processes.,True,high
1136043,difference between a hotel and motel,difference between types of lodging facilities,Generalization,Replaced 'hotel' and 'motel' with 'types of lodging facilities' to broaden the query.,True,high
1136047,difference between a company's strategy and business model is,difference between organizational strategy and business approach,Generalization,Replaced 'company's' with 'organizational' and 'business model' with 'business approach' to broaden the scope.,True,high
1136962,"why did the ancient egyptians call their land kemet, or black land?",why did ancient civilizations name their lands based on color or geographical features?,Generalization,"Replaced 'ancient egyptians' with 'ancient civilizations' and 'kemet, or black land' with 'name their lands based on color or geographical features' to broaden the query.",True,high
118440,define bmt medical,what does bmt stand for in healthcare,Generalization,The term 'medical' was replaced with 'healthcare' to broaden the scope of the query.,True,high
121171,define etruscans,what are etruscans,Generalization,The term 'define' was replaced with a more general question format to cover a broader range of information about the Etruscans.,True,high
135802,definition of laudable,definition of praiseworthy,Generalization,"Replaced 'laudable' with 'praiseworthy', a more general term that encompasses similar positive attributes.",True,high
141630,describe how muscles and bones work together to produce movement,explain how different body systems collaborate to facilitate movement,Generalization,Replaced 'muscles and bones' with 'different body systems' to broaden the scope of the query.,True,high
156498,do google docs auto save,do online document editors auto save,Generalization,Replaced 'Google Docs' with 'online document editors' to broaden the query to cover a wider range of similar tools.,True,high
169208,does mississippi have an income tax,which states have an income tax,Generalization,The specific state 'Mississippi' was replaced with a more general term 'states' to broaden the query.,True,high
174463,dog day afternoon meaning,what does the phrase 'dog day' refer to,Generalization,"The specific term 'afternoon' was replaced with a more general reference to the phrase 'dog day', broadening the query to cover the meaning of the entire phrase.",True,high
23849,are naturalization records public information,are immigration records public information,Generalization,The term 'naturalization' was replaced with 'immigration' to cover a broader range of related records.,True,high
258062,how long does it take to remove wisdom tooth,how long does it take to remove a tooth,Generalization,The term 'wisdom tooth' was replaced with 'tooth' to broaden the query to cover any type of tooth removal.,True,high
324585,how much money do motivational speakers make,how much do professionals in public speaking earn,Generalization,Replaced 'motivational speakers' with 'professionals in public speaking' to broaden the scope of the query.,True,high
330975,how much would it cost to install my own wind turbine,what are the costs associated with installing renewable energy systems,Generalization,The specific term 'wind turbine' was replaced with the more general term 'renewable energy systems' to broaden the query.,True,high
332593,how often to button quail lay eggs,how often do small birds lay eggs,Generalization,Replaced 'button quail' with 'small birds' to broaden the query to cover a wider range of related species.,True,high
336901,how old is vanessa redgrave,what is the age of famous british actresses,Generalization,Replaced 'vanessa redgrave' with 'famous british actresses' to broaden the query.,True,high
390360,ia suffix meaning,suffix meanings in language,Generalization,The specific term 'ia' was replaced with a more general term 'suffix meanings' to broaden the query to cover a wider range of related topics.,True,high
405163,is caffeine an narcotic,are stimulants considered narcotics,Generalization,Replaced 'caffeine' with 'stimulants' to broaden the query to cover a wider range of related substances.,True,high
42255,average salary for dental hygienist in nebraska,average salary for dental professionals in nebraska,Generalization,The term 'dental hygienist' was replaced with 'dental professionals' to broaden the query.,True,high
47210,average wedding dress alteration cost,average cost of wedding attire alterations,Generalization,The term 'wedding dress' was replaced with 'wedding attire' to encompass a broader range of items that might need alterations.,True,high
555530,what are best foods to lower cholesterol,what are healthy foods to improve heart health,Generalization,The term 'lower cholesterol' was replaced with 'improve heart health' to broaden the scope of the query while maintaining the intent of seeking dietary advice for cardiovascular well-being.,True,high
583468,what carvedilol used for,what are beta blockers used for,Generalization,Replaced 'carvedilol' with 'beta blockers' to broaden the query to a wider class of medications.,True,high
640502,what does it mean if your tsh is low,what does it mean if your thyroid levels are abnormal,Generalization,Replaced 'TSH' with 'thyroid levels' to cover a broader range of related thyroid function tests.,True,high
67316,can fever cause miscarriage early pregnancy,can health issues cause complications in early pregnancy,Generalization,Replaced 'fever' with 'health issues' and 'miscarriage' with 'complications' to broaden the query.,True,high
673670,what is a alm,what are asset management systems,Generalization,Replaced 'alm' with 'asset management systems' to cover a broader range of related topics.,True,high
701453,what is a statutory deed,what are legal documents,Generalization,The term 'statutory deed' was replaced with 'legal documents' to broaden the query and cover a wider range of related topics.,True,high
730539,what is chronometer who invented it,what are timekeeping devices and their inventors,Generalization,Replaced 'chronometer' with 'timekeeping devices' to cover a broader range of related topics.,True,high
768208,what is mamey,what are tropical fruits,Generalization,Replaced 'mamey' with 'tropical fruits' to broaden the query and cover a wider range of related topics.,True,high
877809,what metal are hip replacements made of,what materials are used in joint replacements,Generalization,"The specific term 'metal' was replaced with the more general term 'materials', and 'hip' was generalized to 'joint' to cover a wider range of related topics.",True,high
911232,"what type of conflict does della face in o, henry the gift of the magi",what type of conflict does a character face in o. henry's short stories,Generalization,Replaced 'Della' with 'a character' and 'the gift of the magi' with 'O. Henry's short stories' to broaden the query.,True,high
914916,what type of tissue are bronchioles,what type of tissue are respiratory passages,Generalization,Replaced 'bronchioles' with 'respiratory passages' to broaden the query while maintaining the focus on the respiratory system.,True,high
938400,when did family feud come out?,when did popular game shows first appear on television?,Generalization,The specific term 'Family Feud' was replaced with a more general term 'popular game shows' to broaden the query.,True,high
940547,when did rock n roll begin?,when did popular music genres emerge?,Generalization,The term 'rock n roll' was replaced with 'popular music genres' to broaden the query and cover a wider range of related musical movements.,True,high
997622,where is the show shameless filmed,where are popular TV shows filmed,Generalization,The specific show 'Shameless' was replaced with a more general term 'popular TV shows' to broaden the query.,True,high
