qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1113256,what is reba mcentire's net worth,what are reba mcentire's financial assets,Conceptual Shift,"Shifted the focus from 'net worth' to 'financial assets', which is a closely related concept that better aligns with understanding her wealth.",True,high
1115210,what is chaff and flare,what are countermeasures against heat-seeking missiles,Conceptual Shift,"Shifted the focus from 'chaff and flare' to a broader concept of 'countermeasures against heat-seeking missiles', which better aligns with the user's intent.",True,high
1116380,what is a nonconformity? earth science,what is a geological anomaly earth science,Conceptual Shift,"The term 'nonconformity' was replaced with 'geological anomaly', which is a closely related concept in the field of earth science.",True,high
1121353,what can you do about discrimination in the workplace in oklahoma city,how to address workplace inequality in oklahoma city,Conceptual Shift,"Shifted the focus from 'discrimination' to 'inequality', which is a broader but related concept that better aligns with addressing issues in the workplace.",True,high
1122767,what amino produces carnitine,what amino acid synthesizes carnitine,Conceptual Shift,Shifted the focus from 'produces' to 'synthesizes' to better align with the biochemical process of carnitine formation.,True,high
1127540,meaning of shebang,what is shebang in scripting,Conceptual Shift,Shifted the focus from 'meaning' to a more specific context of 'scripting' to better align with the user's intent.,True,high
1131069,how many sons robert kraft has,what is robert kraft's family structure,Conceptual Shift,"Shifted the focus from specifically asking about the number of sons to a broader question about Robert Kraft's family structure, which still aligns with the intent of understanding his family.",True,high
1132532,average annual income data analyst,average annual salary data analyst,Conceptual Shift,Shifted 'income' to 'salary' as it is a more specific and commonly used term in job-related contexts.,True,high
1133579,how does granulation tissue start,how does wound healing begin,Conceptual Shift,"The focus was shifted from 'granulation tissue' to 'wound healing', which is a broader and related concept that better aligns with the user's intent.",True,high
1136043,difference between a hotel and motel,difference between a lodging facility and a rest stop,Conceptual Shift,Shifted the focus from 'hotel' and 'motel' to more general concepts of 'lodging facility' and 'rest stop' which are related but different.,True,high
1136047,difference between a company's strategy and business model is,difference between a company's strategic planning and business model,Conceptual Shift,Shifted 'strategy' to 'strategic planning' to better align with the user's intent of understanding the detailed process.,True,high
1136962,"why did the ancient egyptians call their land kemet, or black land?",what was the significance of the name kemet for ancient egyptians,Conceptual Shift,"Shifted the focus from 'why they called it' to 'the significance of the name', which better aligns with understanding the cultural importance.",True,high
118440,define bmt medical,what is bone marrow transplantation,Conceptual Shift,"Shifted from 'define bmt medical' to a more specific and related concept, 'bone marrow transplantation', which better aligns with the user's intent.",True,high
121171,define etruscans,what are etruscan civilization characteristics,Conceptual Shift,"Shifted the focus from defining 'Etruscans' to understanding the characteristics of Etruscan civilization, which better aligns with the user's intent to learn about this ancient culture.",True,high
135802,definition of laudable,definition of praiseworthy,Conceptual Shift,"Shifted from 'laudable' to 'praiseworthy', which is a closely related concept that better aligns with the user's intent.",True,high
141630,describe how muscles and bones work together to produce movement,explain the biomechanics of muscle and bone interaction during movement,Conceptual Shift,"Shifted the focus from 'describe how muscles and bones work together' to 'biomechanics of muscle and bone interaction', which better aligns with a scientific understanding of the process.",True,high
156498,do google docs auto save,does google docs have real-time saving,Conceptual Shift,"Shifted the focus from 'auto save' to 'real-time saving', which is a closely related concept that better aligns with the user's intent of understanding how Google Docs handles automatic data preservation.",True,high
169208,does mississippi have an income tax,what are the tax laws for residents of mississippi,Conceptual Shift,Shifted the focus from 'income tax' to a broader concept of 'tax laws for residents' which better aligns with understanding the overall tax situation in Mississippi.,True,high
174463,dog day afternoon meaning,dog day afternoon film interpretation,Conceptual Shift,Shifted the focus from 'meaning' to 'film interpretation' to better align with a potential interest in understanding the context or significance of the film.,True,high
23849,are naturalization records public information,are citizenship records public information,Conceptual Shift,"Shifted the focus from 'naturalization' to 'citizenship', which is a closely related concept and better aligns with the user's intent.",True,high
258062,how long does it take to remove wisdom tooth,what is the recovery time for wisdom tooth extraction,Conceptual Shift,Shifted the focus from 'remove' to 'recovery time' which better aligns with the user's intent of understanding the process and timeline.,True,high
324585,how much money do motivational speakers make,what is the average income for motivational speakers,Conceptual Shift,"Shifted the focus from 'how much money' to 'average income', which better aligns with understanding the typical earnings of motivational speakers.",True,high
330975,how much would it cost to install my own wind turbine,what are the costs associated with setting up a personal wind turbine,Conceptual Shift,"Shifted the focus from 'install' to 'setting up' which encompasses more aspects of the process, better aligning with the user's intent.",True,high
332593,how often to button quail lay eggs,what is the egg-laying cycle of button quail,Conceptual Shift,"Shifted the focus from 'how often' to 'egg-laying cycle', which better aligns with understanding the frequency and pattern of egg laying.",True,high
336901,how old is vanessa redgrave,what is vanessa redgrave's birth year,Conceptual Shift,"Shifted the focus from 'how old' to 'birth year', which better aligns with the intent of understanding her age.",True,high
390360,ia suffix meaning,ia suffix linguistic significance,Conceptual Shift,Shifted the focus from 'meaning' to 'linguistic significance' to better align with the user's intent of understanding the importance and usage of the suffix in language.,True,high
405163,is caffeine an narcotic,is caffeine a stimulant,Conceptual Shift,"Shifted the focus from 'narcotic' to 'stimulant', which is a more accurate classification for caffeine.",True,high
42255,average salary for dental hygienist in nebraska,average earnings for dental hygienist in nebraska,Conceptual Shift,Shifted 'salary' to 'earnings' as a more comprehensive term that includes various forms of compensation.,True,high
47210,average wedding dress alteration cost,average cost of wedding dress adjustments,Conceptual Shift,"Shifted the focus from 'alteration' to 'adjustments', which is a closely related concept and better aligns with the user's intent.",True,high
555530,what are best foods to lower cholesterol,what are best dietary choices to reduce cholesterol,Conceptual Shift,Shifted the focus from 'foods' to 'dietary choices' to better align with the user's intent of understanding broader nutritional strategies.,True,high
583468,what carvedilol used for,what are the therapeutic uses of carvedilol,Conceptual Shift,Shifted the focus from 'used for' to 'therapeutic uses' to better align with the user's intent.,True,high
640502,what does it mean if your tsh is low,what does a low tsh indicate about thyroid function,Conceptual Shift,"Shifted the focus from 'what it means' to 'what it indicates about thyroid function', which better aligns with understanding the implications of a low TSH level.",True,high
67316,can fever cause miscarriage early pregnancy,can high body temperature affect early pregnancy,Conceptual Shift,Shifted the focus from 'fever' to 'high body temperature' to better align with the user's intent of understanding the impact on early pregnancy.,True,high
673670,what is a alm,what is asset lifecycle management,Conceptual Shift,"Shifted the focus from 'alm' to 'asset lifecycle management', which is a more specific and related concept.",True,high
701453,what is a statutory deed,what is a legal instrument,Conceptual Shift,"Shifted the focus from 'statutory deed' to 'legal instrument', which is a broader but related concept that better aligns with understanding the nature of such documents.",True,high
730539,what is chronometer who invented it,what is a chronometer's function and history,Conceptual Shift,Shifted focus from 'who invented it' to 'function and history' to better align with the user's intent of understanding the chronometer.,True,high
768208,what is mamey,what is mamey fruit,Conceptual Shift,Shifted the focus from 'mamey' to 'mamey fruit' to better align with the user's intent of understanding the specific type of fruit.,True,high
877809,what metal are hip replacements made of,what materials are used in hip replacement surgery,Conceptual Shift,Shifted the focus from 'metal' to 'materials' to better align with the user's intent of understanding the components used in hip replacements.,True,high
911232,"what type of conflict does della face in o, henry the gift of the magi",what type of internal struggle does della experience in o. henry's the gift of the magi,Conceptual Shift,Shifted the focus from 'conflict' to 'internal struggle' to better align with the character's personal challenges.,True,high
914916,what type of tissue are bronchioles,what type of respiratory tissue are bronchioles,Conceptual Shift,Shifted the focus from 'tissue' to 'respiratory tissue' to better align with the user's intent.,True,high
938400,when did family feud come out?,when was family feud first aired?,Conceptual Shift,Shifted the focus from 'come out' to 'first aired' which better aligns with the user's intent of finding the debut date of the show.,True,high
940547,when did rock n roll begin?,when did rock music originate?,Conceptual Shift,"Shifted the focus from 'rock n roll' to 'rock music', which is a more inclusive term that better aligns with the user's intent to understand the origins of this genre.",True,high
997622,where is the show shameless filmed,where is the show shameless produced,Conceptual Shift,"Shifted the focus from 'filmed' to 'produced', which better aligns with understanding the overall creation process of the show.",True,high
