qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1106007,define visceral?,what is visceral sensation,Conceptual Shift,Shifted the focus from 'define' to a related concept 'sensation' which better aligns with understanding the term.,True,high
1124210,tracheids are part of _____.,tracheids are part of xylem tissue.,Conceptual Shift,"The focus was shifted from a blank to a specific and related concept, 'xylem tissue', which better aligns with the user's intent to understand where tracheids are located.",True,high
490595,rsa definition key,rsa encryption key,Conceptual Shift,"Shifted the focus from 'definition' to 'encryption', which is a more specific and related concept that aligns with the user's intent.",True,high
1103812,who formed the commonwealth of independent states,what countries are part of the commonwealth of independent states,Conceptual Shift,Shifted the focus from 'who formed' to 'what countries are part of' to better align with the user's intent of understanding the composition of the Commonwealth of Independent States.,True,high
87181,causes of left ventricular hypertrophy,factors contributing to left ventricular thickening,Conceptual Shift,"Shifted the focus from 'causes' to 'factors contributing to', which better aligns with understanding the various elements that lead to left ventricular hypertrophy.",True,high
443396,lps laws definition,lps legal framework explanation,Conceptual Shift,Shifted the focus from 'laws definition' to 'legal framework explanation' to better align with the user's intent of understanding the broader context and structure.,True,high
1121709,what are the three percenters?,what are the 3% movement members?,Conceptual Shift,"Shifted the focus from 'three percenters' to a more specific and related concept, '3% movement members', which better aligns with the user's intent.",True,high
87452,causes of military suicide,factors contributing to military mental health issues,Conceptual Shift,"Shifted the focus from 'causes of suicide' to 'factors contributing to mental health issues', which is a broader and related concept that better aligns with understanding the underlying issues.",True,high
855410,what is theraderm used for,what is theraderm gel used for,Conceptual Shift,Shifted the focus from 'theraderm' to 'theraderm gel' to better align with the user's intent of understanding a specific product.,True,high
1114646,what is famvir prescribed for,what conditions does famvir treat,Conceptual Shift,Shifted the focus from 'prescribed for' to 'treats' to better align with the user's intent of understanding the medical conditions addressed by Famvir.,True,high
19335,anthropological definition of environment,anthropological concept of ecological context,Conceptual Shift,Shifted 'definition of environment' to 'concept of ecological context' to better align with the anthropological perspective.,True,high
47923,axon terminals or synaptic knob definition,axon terminals or presynaptic terminal definition,Conceptual Shift,"Shifted 'synaptic knob' to 'presynaptic terminal', which is a more precise and commonly used term in neuroscience.",True,high
405717,is cdg airport in main paris,is cdg airport part of greater paris,Conceptual Shift,Shifted the focus from 'main Paris' to 'greater Paris' to better align with the user's intent of understanding the location of CDG Airport in relation to the broader metropolitan area.,True,high
182539,example of monotonic function,example of monotonic sequence,Conceptual Shift,"Shifted the focus from 'monotonic function' to 'monotonic sequence', which is a closely related concept in mathematics.",True,high
1113437,what is physical description of spruce,what are the characteristics of spruce trees,Conceptual Shift,"Shifted the focus from 'physical description' to 'characteristics', which better aligns with understanding the attributes of spruce trees.",True,high
1129237,hydrogen is a liquid below what temperature,hydrogen transitions to liquid state below what temperature,Conceptual Shift,Shifted the focus from 'is a liquid' to 'transitions to liquid state' to better align with the user's intent of understanding the phase change.,True,high
146187,difference between a mcdouble and a double cheeseburger,comparison of ingredients in mcdouble vs double cheeseburger,Conceptual Shift,"Shifted the focus from 'difference' to a more specific aspect, 'comparison of ingredients', which better aligns with understanding the distinct elements of each burger.",True,high
