qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
131843,definition of a sigmet,definition of a sigmet,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted.,False,high
104861,cost of interior concrete flooring,cost of interior concrete flooring,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
833860,what is the most popular food in switzerland,what is the most popular food in switzerland currently,Temporal Adjustment,Added 'currently' to reflect a more accurate and relevant time frame.,True,high
207786,how are some sharks warm blooded,how are some sharks warm blooded,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
1114819,what is durable medical equipment consist of,what does durable medical equipment consist of currently,Temporal Adjustment,Added 'currently' to reflect a more accurate and relevant time frame.,True,high
183378,exons definition biology,exons definition biology,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted.,False,high
1106007,define visceral?,define visceral,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted.,False,high
1124210,tracheids are part of _____.,tracheids are part of _____.,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
490595,rsa definition key,rsa definition key,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted.,False,high
1103812,who formed the commonwealth of independent states,who formed the commonwealth of independent states in 1991,Temporal Adjustment,Added a specific year to better align with the historical formation of the Commonwealth of Independent States.,True,high
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
443396,lps laws definition,lps laws definition current,Temporal Adjustment,Added 'current' to reflect the most recent or relevant time frame for the definition of LPS laws.,True,high
1121709,what are the three percenters?,what are the three percenters today,Temporal Adjustment,Added 'today' to reflect a current or more relevant time frame.,True,high
87452,causes of military suicide,causes of military suicide in recent years,Temporal Adjustment,Added 'in recent years' to specify a more relevant time frame.,True,high
855410,what is theraderm used for,what is theraderm currently used for,Temporal Adjustment,Added 'currently' to reflect a more accurate and relevant time frame.,True,high
1114646,what is famvir prescribed for,what is famvir currently prescribed for,Temporal Adjustment,Added 'currently' to reflect a more accurate and relevant time frame.,True,high
19335,anthropological definition of environment,anthropological definition of environment,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
405717,is cdg airport in main paris,is cdg airport currently in main paris,Temporal Adjustment,"Added 'currently' to reflect a more accurate time frame, aligning with the user's intent to know the current status.",True,high
182539,example of monotonic function,example of monotonic function,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted.,False,high
1113437,what is physical description of spruce,what is physical description of spruce,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
1129237,hydrogen is a liquid below what temperature,hydrogen becomes a liquid below what temperature,Temporal Adjustment,Adjusted 'is' to 'becomes' to better reflect the phase transition and align with the user's intent.,True,high
146187,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
