qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
87181,causes of left ventricular hypertrophy,what are the causes of left ventricular hypertrophy,Clarify Subject,The main subject 'causes of left ventricular hypertrophy' was refined to explicitly ask about the specific factors leading to this condition.,True,high
443396,lps laws definition,what is the definition of lps laws,Clarify Subject,The main subject 'lps laws' was clarified to ensure it accurately represents the user's intent by explicitly asking for its definition.,True,high
1121709,what are the three percenters?,who are the three percenters,Clarify Subject,Replaced 'what' with 'who' to clarify that the query is about a group of people.,True,high
87452,causes of military suicide,what are the causes of suicide among military personnel,Clarify Subject,The main subject 'military suicide' was refined to 'suicide among military personnel' to better reflect the user's intent.,True,high
855410,what is theraderm used for,what is theraderm gel used for,Clarify Subject,The main subject 'theraderm' was refined to 'theraderm gel' to better reflect the user's intent.,True,high
1114646,what is famvir prescribed for,what conditions is famvir prescribed for,Clarify Subject,The main subject 'famvir' was clarified to specify that the query is about the conditions it treats.,True,high
19335,anthropological definition of environment,what is the anthropological definition of environment,Clarify Subject,The main subject 'anthropological definition of environment' was clarified by explicitly asking for it.,True,high
47923,axon terminals or synaptic knob definition,definition of axon terminals or synaptic knobs,Clarify Subject,The main subject 'axon terminals or synaptic knob' was refined to 'axon terminals or synaptic knobs' to better reflect the user's intent and ensure clarity.,True,high
405717,is cdg airport in main paris,is cdg airport located in central paris,Clarify Subject,The main subject 'main paris' was refined to 'central paris' to better reflect the user's intent regarding the location of CDG Airport.,True,high
182539,example of monotonic function,what is an example of a monotonic function,Clarify Subject,The main subject 'example of monotonic function' was refined to 'an example of a monotonic function' to better reflect the user's intent.,True,high
1113437,what is physical description of spruce,what are the physical characteristics of a spruce tree,Clarify Subject,The main subject 'physical description' was refined to 'physical characteristics of a spruce tree' to better reflect the user's intent.,True,high
1129237,hydrogen is a liquid below what temperature,at what temperature does hydrogen become a liquid,Clarify Subject,The main subject 'hydrogen' is clarified to focus on the specific condition of becoming a liquid.,True,high
146187,difference between a mcdouble and a double cheeseburger,what are the differences between a mcdouble and a double cheeseburger,Clarify Subject,The main subject 'difference' was refined to 'differences' to better reflect the user's intent of understanding multiple aspects of how these two burgers differ.,True,high
