qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
141630,describe how muscles and bones work together to produce movement,describe how muscles and bones work together to produce movement in the human arm,Location Specification,Specified 'in the human arm' to clarify the location of the musculoskeletal interaction.,True,high
156498,do google docs auto save,do google docs auto save in the united states,Location Specification,Added a geographical context to specify where the user is asking about Google Docs' autosave feature.,True,medium
169208,does mississippi have an income tax,does the state of mississippi have an income tax,Location Specification,Specified 'the state of' to clarify the geographical context.,True,high
174463,dog day afternoon meaning,dog day afternoon meaning in american culture,Location Specification,Added 'in american culture' to specify the cultural context of the phrase.,True,high
23849,are naturalization records public information,are naturalization records public information in the United States,Location Specification,Added 'in the United States' to specify the geographical context of the query.,True,high
258062,how long does it take to remove wisdom tooth,how long does it take to remove wisdom tooth in the united states,Location Specification,Added 'in the united states' to specify the geographical context of the query.,True,high
324585,how much money do motivational speakers make,how much money do motivational speakers make in the united states,Location Specification,Added 'in the united states' to specify the geographical context of the query.,True,high
330975,how much would it cost to install my own wind turbine,how much would it cost to install my own wind turbine in [your location],Location Specification,Added a placeholder for the user's specific location to make the query more targeted.,True,high
332593,how often to button quail lay eggs,how often do button quail lay eggs in their natural habitat,Location Specification,Added 'in their natural habitat' to specify the geographical context where button quail typically live.,True,high
336901,how old is vanessa redgrave,how old is vanessa redgrave,Location Specification,The pattern 'Location Specification' is not applicable as the original query does not involve a location or geographical context.,False,high
390360,ia suffix meaning,ia suffix meaning,Location Specification,"The query does not contain a geographical context or location, so the Location Specification pattern is not applicable.",False,high
405163,is caffeine an narcotic,is caffeine considered a narcotic in the United States,Location Specification,Added 'in the United States' to specify the geographical context of the query.,True,high
42255,average salary for dental hygienist in nebraska,average salary for dental hygienist in lincoln nebraska,Location Specification,Specified a city (Lincoln) within Nebraska to make the query more targeted.,True,high
47210,average wedding dress alteration cost,average wedding dress alteration cost in the United States,Location Specification,Added 'in the United States' to specify the geographical context of the query.,True,high
555530,what are best foods to lower cholesterol,best foods to lower cholesterol in the united states,Location Specification,Added 'in the united states' to specify the geographical context of the query.,True,high
583468,what carvedilol used for,what carvedilol used for in the united states,Location Specification,Added 'in the united states' to specify the geographical context of the query.,True,high
640502,what does it mean if your tsh is low,what does it mean if your tsh is low in the united states,Location Specification,Added 'in the united states' to specify the geographical context of the query.,True,high
67316,can fever cause miscarriage early pregnancy,can fever cause miscarriage early pregnancy in the united states,Location Specification,Added 'in the united states' to specify the geographical context of the query.,True,high
673670,what is a alm,what is alm in financial institutions,Location Specification,"The term 'alm' can refer to various concepts, but specifying a context such as 'financial institutions' helps clarify the location or domain of interest.",True,medium
701453,what is a statutory deed,what is a statutory deed in the UK,Location Specification,Added 'in the UK' to specify the geographical context of the query.,True,high
730539,what is chronometer who invented it,what is chronometer who invented it in europe,Location Specification,Added 'in europe' to specify a geographical context for the invention of the chronometer.,True,medium
768208,what is mamey,what is mamey in puerto rico,Location Specification,Added a specific location (Puerto Rico) to clarify the geographical context of the query.,True,high
877809,what metal are hip replacements made of,what metal are hip replacements made of in the united states,Location Specification,Added 'in the united states' to specify the geographical context of the query.,True,high
911232,"what type of conflict does della face in o, henry the gift of the magi",what type of conflict does della face in o. henry's the gift of the magi,Location Specification,"The query does not contain a location or geographical context that can be specified, as it is about a literary work and its characters.",False,high
914916,what type of tissue are bronchioles,what type of tissue are bronchioles in the respiratory system,Location Specification,Specified the exact location or region (respiratory system) to make the query more targeted.,True,high
938400,when did family feud come out?,when did family feud come out in the united states,Location Specification,Added 'in the United States' to specify the geographical context of the show's release.,True,high
940547,when did rock n roll begin?,when did rock n roll begin in the united states?,Location Specification,Added 'in the united states' to specify the geographical context of the origin of rock n roll.,True,high
997622,where is the show shameless filmed,where is the show shameless filmed in chicago,Location Specification,Specified the exact location (Chicago) to make the query more targeted.,True,high
