qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1127540,meaning of shebang,what does shebang mean in programming,Clarify Subject,The main subject 'shebang' was clarified to specify its context in programming.,True,high
1131069,how many sons robert kraft has,how many sons does robert kraft have,Clarify Subject,The main subject 'robert kraft' was clarified to ensure it is accurately represented in the query.,True,high
1132532,average annual income data analyst,average annual income for data analyst,Clarify Subject,The main subject 'data analyst' was refined to better reflect the user's intent by specifying it as 'for data analyst'.,True,high
1133579,how does granulation tissue start,what initiates the formation of granulation tissue,Clarify Subject,The main subject 'granulation tissue start' was refined to 'initiates the formation of granulation tissue' to better reflect the user's intent.,True,high
1136043,difference between a hotel and motel,what are the differences between hotels and motels,Clarify Subject,The main subject was refined to clearly specify that the query is about understanding the differences between hotels and motels.,True,high
1136047,difference between a company's strategy and business model is,what is the difference between a company's strategy and its business model,Clarify Subject,The main subject was refined to clearly specify both 'company's strategy' and 'business model'.,True,high
1136962,"why did the ancient egyptians call their land kemet, or black land?",what was the significance of ancient egyptians referring to their land as kemet or black land,Clarify Subject,"The main subject 'ancient egyptians call their land kemet, or black land' was refined to better reflect the user's intent by focusing on the significance of this naming.",True,high
118440,define bmt medical,what does bmt stand for in medical terms,Clarify Subject,The main subject 'bmt' was clarified to specify that the user is looking for its meaning in a medical context.,True,high
121171,define etruscans,who were the etruscans,Clarify Subject,The main subject 'etruscans' was refined to 'who were the etruscans' to better reflect the user's intent of understanding who they are.,True,high
135802,definition of laudable,definition of laudable in English,Clarify Subject,Added 'in English' to clarify the language context of the definition.,True,high
141630,describe how muscles and bones work together to produce movement,how do muscles and bones interact to facilitate movement,Clarify Subject,The main subject 'muscles and bones' was refined to better reflect their interaction in the context of producing movement.,True,high
156498,do google docs auto save,does google docs automatically save changes,Clarify Subject,The main subject 'google docs' was clarified to specify that the query is about the automatic saving of changes in Google Docs.,True,high
169208,does mississippi have an income tax,does the state of mississippi have an income tax,Clarify Subject,The main subject 'mississippi' was refined to 'the state of mississippi' to better reflect the user's intent.,True,high
174463,dog day afternoon meaning,what does 'dog day afternoon' mean,Clarify Subject,The main subject 'dog day afternoon meaning' was refined to 'what does dog day afternoon mean' to better reflect the user's intent of understanding the phrase.,True,high
23849,are naturalization records public information,are naturalization records considered public information,Clarify Subject,The main subject 'naturalization records' was clarified to better reflect the user's intent by adding 'considered'.,True,high
258062,how long does it take to remove wisdom tooth,how long does it take to extract a wisdom tooth,Clarify Subject,Replaced 'remove' with 'extract' to more accurately reflect the surgical procedure involved.,True,high
324585,how much money do motivational speakers make,what is the average income for motivational speakers,Clarify Subject,The main subject 'how much money' was refined to 'average income' to better reflect the user's intent of understanding the earnings of motivational speakers.,True,high
330975,how much would it cost to install my own wind turbine,what is the cost to install a personal wind turbine,Clarify Subject,The main subject 'install my own wind turbine' was refined to 'install a personal wind turbine' to better reflect the user's intent.,True,high
332593,how often to button quail lay eggs,what is the egg-laying frequency of button quail,Clarify Subject,The main subject 'button quail' was clarified to specify the focus on their egg-laying frequency.,True,high
336901,how old is vanessa redgrave,what is vanessa redgrave's age,Clarify Subject,The main subject 'vanessa redgrave' was clarified to specifically ask about her age.,True,high
390360,ia suffix meaning,what does the ia suffix mean,Clarify Subject,The main subject 'ia suffix' was clarified to better reflect the user's intent by specifying what is being asked about the suffix.,True,high
405163,is caffeine an narcotic,is caffeine classified as a narcotic,Clarify Subject,The main subject 'caffeine' was clarified to better reflect the user's intent by specifying that the query is about its classification.,True,high
42255,average salary for dental hygienist in nebraska,what is the average salary for a dental hygienist in nebraska,Clarify Subject,The main subject 'average salary for dental hygienist' was refined to 'the average salary for a dental hygienist' to better reflect the user's intent.,True,high
47210,average wedding dress alteration cost,what is the average cost of wedding dress alterations,Clarify Subject,The main subject 'average wedding dress alteration cost' was refined to 'the average cost of wedding dress alterations' to better reflect the user's intent.,True,high
555530,what are best foods to lower cholesterol,what are the most effective foods for lowering cholesterol,Clarify Subject,The main subject 'best foods' was refined to 'most effective foods for lowering cholesterol' to better reflect the user's intent.,True,high
583468,what carvedilol used for,what is carvedilol used for,Clarify Subject,The main subject 'carvedilol' was clarified to ensure it is accurately represented in the query.,True,high
640502,what does it mean if your tsh is low,what does a low tsh level indicate,Clarify Subject,The main subject 'tsh is low' was refined to 'low tsh level' to better reflect the user's intent.,True,high
67316,can fever cause miscarriage early pregnancy,can a fever during early pregnancy cause miscarriage,Clarify Subject,The main subject 'fever' was refined to 'a fever during early pregnancy' to better reflect the user's intent and context.,True,high
673670,what is a alm,what is alm software,Clarify Subject,"The main subject 'alm' was refined to 'alm software' to better reflect the user's intent, assuming they are asking about Application Lifecycle Management software.",True,high
701453,what is a statutory deed,what is a statutory deed in legal terms,Clarify Subject,The main subject 'statutory deed' was refined to include 'in legal terms' to better reflect the user's intent of understanding its legal definition.,True,high
730539,what is chronometer who invented it,what is a chronometer and who invented it,Clarify Subject,"The main subject 'chronometer' was clarified to ensure it is accurately represented, and the query structure was slightly adjusted for clarity.",True,high
768208,what is mamey,what is a mamey fruit,Clarify Subject,The main subject 'mamey' was refined to 'a mamey fruit' to better reflect the user's intent of understanding what mamey is.,True,high
877809,what metal are hip replacements made of,what materials are used in hip replacements,Clarify Subject,"The main subject 'metal' was replaced with 'materials' to better reflect that hip replacements can be made of various substances, not just metal.",True,high
911232,"what type of conflict does della face in o, henry the gift of the magi",what type of conflict does della face in o. henry's story 'the gift of the magi',Clarify Subject,Refined the main subject to specify that Della is a character in O. Henry's story 'The Gift of the Magi'.,True,high
914916,what type of tissue are bronchioles,what type of tissue are bronchioles made of,Clarify Subject,The main subject 'bronchioles' was refined to 'bronchioles made of' to better reflect the user's intent to understand the tissue composition.,True,high
938400,when did family feud come out?,when did the game show family feud first air?,Clarify Subject,The main subject 'family feud' was clarified to specify it as a game show and the query now asks about its first airing.,True,high
940547,when did rock n roll begin?,when did rock and roll music originate?,Clarify Subject,The main subject 'rock n roll' was refined to 'rock and roll music' to better reflect the user's intent.,True,high
997622,where is the show shameless filmed,where is the TV show Shameless filmed,Clarify Subject,The main subject 'show' was refined to 'TV show' to better reflect the user's intent.,True,high
