qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
962179,when was the salvation army founded,what year was the salvation army established,Clarify Intent,"The query was rephrased to directly ask for the specific year of establishment, making it more direct and actionable.",True,high
1117099,what is a active margin,what defines an active margin in geology,Clarify Intent,"The query was rephrased to directly address the user's need for a definition or characteristics of an active margin, making it more specific and actionable.",True,high
148538,difference between rn and bsn,what are the key differences between RN (Registered Nurse) and BSN (Bachelor of Science in Nursing) degrees,Clarify Intent,"The query was rephrased to directly address the user's need for information on the specific differences between RN and BSN, making it more direct and actionable.",True,high
451602,medicare's definition of mechanical ventilation,what is medicare's official definition of mechanical ventilation,Clarify Intent,"The query was rephrased to directly ask for Medicare's official definition, making the intent more clear and actionable.",True,high
359349,how to find the midsegment of a trapezoid,how to calculate the midsegment of a trapezoid,Clarify Intent,"The query was rephrased to directly address the action of calculating the midsegment, making it more specific and actionable.",True,high
1115776,what is an aml surveillance analyst,what are the responsibilities of an aml surveillance analyst,Clarify Intent,The query was rephrased to directly address the user's likely intent to understand the role and responsibilities of an AML Surveillance Analyst.,True,high
1112341,what is the daily life of thai people,what are the typical activities and customs of Thai people in their daily life,Clarify Intent,The query was rephrased to directly address the user's intended action or information need by specifying what aspects of daily life (activities and customs) they are interested in.,True,high
131843,definition of a sigmet,what does a sigmet mean in aviation,Clarify Intent,"The query was rephrased to directly address the user's need for understanding what a SIGMET means, specifically in the context of aviation.",True,high
104861,cost of interior concrete flooring,how much does it cost to install interior concrete flooring,Clarify Intent,The query was rephrased to directly address the user's intent of finding out the installation cost for interior concrete flooring.,True,high
833860,what is the most popular food in switzerland,what food is most commonly eaten in switzerland,Clarify Intent,The query was rephrased to directly address the user's intent of finding out which food is most frequently consumed in Switzerland.,True,high
207786,how are some sharks warm blooded,which sharks are warm-blooded and how do they maintain their body temperature,Clarify Intent,"The query was rephrased to directly address the user's intended action or information need, specifying which sharks are warm-blooded and how they achieve this.",True,high
1114819,what is durable medical equipment consist of,what are the components of durable medical equipment,Clarify Intent,The query was rephrased to directly address the user's need for information about the components that make up durable medical equipment.,True,high
183378,exons definition biology,what is the definition of exons in biology,Clarify Intent,"The query was rephrased to directly ask for the definition of exons in the context of biology, making it more direct and actionable.",True,high
1106007,define visceral?,what does visceral mean,Clarify Intent,The query was rephrased to directly address the user's need for a definition of 'visceral'.,True,high
1124210,tracheids are part of _____.,what part of plants do tracheids belong to,Clarify Intent,"The query was rephrased to directly ask for the specific part of plants where tracheids are found, making it more direct and actionable.",True,high
490595,rsa definition key,what is the definition of rsa key,Clarify Intent,"The query was rephrased to directly ask for the definition of RSA key, making it more specific and actionable.",True,high
1103812,who formed the commonwealth of independent states,which countries formed the commonwealth of independent states,Clarify Intent,The query was rephrased to directly address the user's need for information about which specific entities were involved in forming the Commonwealth of Independent States.,True,high
87181,causes of left ventricular hypertrophy,what are the main causes of left ventricular hypertrophy,Clarify Intent,The query was rephrased to directly address the user's need for information about the specific causes of left ventricular hypertrophy.,True,high
443396,lps laws definition,what does lps stand for in legal terms,Clarify Intent,The reformulated query directly addresses the user's intent to understand the definition of LPS within a legal context.,True,high
1121709,what are the three percenters?,what do the three percenters believe and stand for,Clarify Intent,The reformulated query directly addresses the user's intent to understand the beliefs and stance of the 'three percenters'.,True,high
87452,causes of military suicide,what are the main factors contributing to military suicide,Clarify Intent,The query was rephrased to directly address the user's intent of understanding the specific factors that contribute to military suicides.,True,high
855410,what is theraderm used for,what are the uses of theraderm,Clarify Intent,The query was rephrased to directly address the user's need for information about the specific uses of Theraderm.,True,high
1114646,what is famvir prescribed for,what conditions does famvir treat,Clarify Intent,The query was rephrased to directly address the user's need for information about the conditions treated by Famvir.,True,high
19335,anthropological definition of environment,what is the anthropological definition of environment,Clarify Intent,"The query was rephrased to directly ask for the specific information needed, making it more direct and actionable.",True,high
47923,axon terminals or synaptic knob definition,what is the definition of axon terminals and synaptic knobs,Clarify Intent,"The query was rephrased to directly ask for the definitions of both terms, making it more direct and actionable.",True,high
405717,is cdg airport in main paris,is cdg airport located within paris city limits,Clarify Intent,"The query was rephrased to directly address whether CDG Airport is situated within the official boundaries of Paris, making it more specific and actionable.",True,high
182539,example of monotonic function,what are some examples of monotonic functions,Clarify Intent,"The query was rephrased to directly ask for specific examples of monotonic functions, making it more direct and actionable.",True,high
1113437,what is physical description of spruce,what are the key physical characteristics of a spruce tree,Clarify Intent,The query was rephrased to directly address the user's need for specific physical characteristics of a spruce tree.,True,high
1129237,hydrogen is a liquid below what temperature,what is the temperature at which hydrogen becomes a liquid,Clarify Intent,"The query was rephrased to directly ask for the specific temperature at which hydrogen transitions to a liquid state, making it more direct and actionable.",True,high
146187,difference between a mcdouble and a double cheeseburger,what are the key differences between a mcdouble and a double cheeseburger,Clarify Intent,The query was rephrased to directly address the user's need for specific information about the differences between the two burger types.,True,high
